Championship Year,Country,Serie,Date,Time,Home Team,Away Team,Full Time Home Team Goals,Full Time Away Team Goals,Full Time Result,Half Time Home Team Goals,Half Time Away Team Goals,Half Time Result,Home Team Shots,Away Team Shots,Home Team Shots on Target,Away Team Shots on Target,Home Team Fouls Committed,Away Team Fouls Committed,Home Team Corners,Away Team Corners,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Market maximum home win odds,Market maximum draw win odds,Market maximum away win odds,Market average home win odds,Market average draw win odds,Market average away win odds,Market maximum over 2.5 goals,Market maximum under 2.5 goals,Market average over 2.5 goals,Market average under 2.5 goals
2022/2023,Italy,A,13/08/2022,17:30,Milan,Udinese,4,2,Home,2,2,D,14,9,5,4,16,13,5,1,1,4,0,0,1.46,5.1,9,1.41,4.75,8.14,1.82,2.21,1.73,2.14
2022/2023,Italy,A,13/08/2022,17:30,Sampdoria,Atalanta,0,2,Away,0,1,A,11,9,1,3,13,21,3,2,4,6,0,0,4.75,4.12,1.84,4.45,3.91,1.77,1.76,2.26,1.69,2.18
2022/2023,Italy,A,13/08/2022,19:45,Lecce,Inter,1,2,Away,0,1,A,10,19,4,9,21,19,6,8,4,2,0,0,12,6.15,1.33,10.22,5.67,1.3,1.65,2.46,1.6,2.37
2022/2023,Italy,A,13/08/2022,19:45,Monza,Torino,1,2,Away,0,1,A,15,13,4,6,6,17,2,7,1,2,0,0,2.68,3.48,2.94,2.58,3.29,2.84,2.21,1.84,2.09,1.76
2022/2023,Italy,A,14/08/2022,17:30,Fiorentina,Cremonese,3,2,Home,2,1,H,27,13,11,4,10,19,11,4,0,3,0,1,1.42,5.4,9.5,1.38,5.02,8.16,1.7,2.4,1.63,2.25
2022/2023,Italy,A,14/08/2022,17:30,Lazio,Bologna,2,1,Home,0,1,A,9,11,6,3,11,18,3,2,2,6,1,1,1.66,4.54,6,1.58,4.3,5.49,1.71,2.35,1.65,2.26
2022/2023,Italy,A,14/08/2022,19:45,Salernitana,Roma,0,1,Away,0,1,A,13,20,2,5,18,9,4,2,3,2,0,0,6.8,4.8,1.53,6.42,4.57,1.49,1.83,2.15,1.77,2.08
2022/2023,Italy,A,14/08/2022,19:45,Spezia,Empoli,1,0,Home,1,0,H,9,18,2,5,15,8,6,4,2,1,0,0,2.61,3.62,3.01,2.49,3.33,2.91,1.99,2,1.9,1.92
2022/2023,Italy,A,15/08/2022,17:30,Verona,Napoli,2,5,Away,1,2,A,6,25,3,8,15,6,4,8,2,2,0,0,3.66,3.8,2.2,3.46,3.58,2.1,1.86,2.13,1.78,2.05
2022/2023,Italy,A,15/08/2022,19:45,Juventus,Sassuolo,3,0,Home,2,0,H,14,19,4,7,7,5,3,2,1,3,0,0,1.5,5.2,7.5,1.46,4.81,6.65,1.57,2.6,1.52,2.52
2022/2023,Italy,A,20/08/2022,17:30,Torino,Lazio,0,0,Draw,0,0,D,10,7,1,2,11,12,6,4,0,5,0,0,3.12,3.55,2.43,2.99,3.45,2.38,1.93,2.05,1.87,1.95
2022/2023,Italy,A,20/08/2022,17:30,Udinese,Salernitana,0,0,Draw,0,0,D,15,17,2,6,9,12,6,6,2,4,1,0,1.78,4.04,4.95,1.75,3.89,4.63,1.83,2.14,1.78,2.06
2022/2023,Italy,A,20/08/2022,19:45,Inter,Spezia,3,0,Home,1,0,H,19,2,8,0,11,7,10,4,0,0,0,0,1.2,8.4,19,1.17,7.9,15.8,1.38,3.6,1.33,3.34
2022/2023,Italy,A,20/08/2022,19:45,Sassuolo,Lecce,1,0,Home,1,0,H,12,7,3,1,14,12,5,4,5,1,0,0,1.84,4.2,4.55,1.79,3.99,4.24,1.69,2.39,1.63,2.29
2022/2023,Italy,A,21/08/2022,17:30,Empoli,Fiorentina,0,0,Draw,0,0,D,4,19,2,2,13,11,1,9,1,3,1,0,3.9,4.1,2.02,3.73,3.83,1.94,1.71,2.28,1.66,2.23
2022/2023,Italy,A,21/08/2022,17:30,Napoli,Monza,4,0,Home,2,0,H,22,4,5,1,11,13,10,4,2,1,0,0,1.38,5.7,9.1,1.35,5.4,8.49,1.58,2.66,1.52,2.55
2022/2023,Italy,A,21/08/2022,19:45,Atalanta,Milan,1,1,Draw,1,0,H,11,18,2,7,15,6,4,6,4,3,0,0,2.93,3.68,2.57,2.79,3.49,2.5,1.83,2.19,1.74,2.11
2022/2023,Italy,A,21/08/2022,19:45,Bologna,Verona,1,1,Draw,1,1,D,17,19,5,3,10,14,9,8,3,3,1,0,2.25,3.6,3.45,2.2,3.5,3.3,1.86,2.07,1.82,2.01
2022/2023,Italy,A,22/08/2022,17:30,Roma,Cremonese,1,0,Home,0,0,D,27,14,12,3,7,14,5,6,0,3,0,0,1.27,6.75,17,1.24,6.14,13.06,1.7,2.37,1.63,2.29
2022/2023,Italy,A,22/08/2022,19:45,Sampdoria,Juventus,0,0,Draw,0,0,D,10,10,1,4,8,14,3,4,3,2,0,0,6.5,4.3,1.66,5.74,4.06,1.61,1.93,2.06,1.85,1.96
2022/2023,Italy,A,26/08/2022,17:30,Monza,Udinese,1,2,Away,1,1,D,10,15,5,4,16,10,3,5,3,2,0,0,3.28,3.55,2.4,3.15,3.43,2.3,1.91,2.05,1.86,1.97
2022/2023,Italy,A,26/08/2022,19:45,Lazio,Inter,3,1,Home,1,0,H,11,19,7,7,5,12,2,4,2,1,0,0,4.33,4.05,1.94,4.08,3.76,1.88,1.72,2.29,1.67,2.21
2022/2023,Italy,A,27/08/2022,17:30,Cremonese,Torino,1,2,Away,0,1,A,16,14,6,5,9,21,3,3,0,3,0,0,3.39,3.6,2.35,3.23,3.39,2.29,2.04,1.93,1.98,1.85
2022/2023,Italy,A,27/08/2022,17:30,Juventus,Roma,1,1,Draw,1,0,H,14,8,3,4,16,7,4,5,2,2,0,0,2.49,3.34,3.38,2.38,3.22,3.21,2.15,1.87,2.06,1.78
2022/2023,Italy,A,27/08/2022,19:45,Milan,Bologna,2,0,Home,1,0,H,19,8,7,0,13,9,5,1,2,1,0,0,1.4,5.9,10.5,1.35,5.37,8.74,1.64,2.41,1.61,2.34
2022/2023,Italy,A,27/08/2022,19:45,Spezia,Sassuolo,2,2,Draw,2,1,H,7,21,2,8,17,10,2,6,2,1,1,0,3.15,3.83,2.35,3.02,3.61,2.29,1.68,2.43,1.62,2.32
2022/2023,Italy,A,28/08/2022,17:30,Salernitana,Sampdoria,4,0,Home,2,0,H,9,17,6,6,19,14,6,3,2,2,0,0,2.6,3.4,3.18,2.47,3.24,3.04,2.06,1.9,1.99,1.84
2022/2023,Italy,A,28/08/2022,17:30,Verona,Atalanta,0,1,Away,0,0,D,14,15,2,7,15,7,7,6,3,3,0,0,4.6,4.18,1.85,4.3,3.94,1.8,1.69,2.34,1.65,2.25
